Chemical-Aditya Birla Science & Technology Company Ltd., Mumbai
Chemical-AltMat, Ahmedabad
Chemical-Central Leather Research Institute (CLRI), Chennai
Chemical-Grasim Industries Ltd., Nagda
Chemical-Indian Institute of Petroleum, Dehradun
Chemical-SRF Ltd., Gurgaon
Chemical-Zwende Design Tech Pvt Ltd, Bangalore
COVIAM Technologies, Bangalore
Electronics  -ABB Global Industries and Services Private Limited, Bangalore
Electronics  -ALW Lighting India Pvt Ltd, Ludhiana
Electronics  -ALW Lighting India Pvt Ltd- Nontech, Ludhiana
Electronics  -Central Electronics Engineering Research Institute, Pilani
Electronics  -Cisco Systems (India) Pvt. Ltd. - Hardware , Bangalore
Electronics  -Door Sabha Nigam Ltd., Chennai
Electronics  -Hourglass Research, Mumbai
Electronics  -Integrated Active Monitoring Pvt. Ltd. - Product & Business Dev., Pune
Electronics  -Integrated Active Monitoring Pvt. Ltd., Pune
Electronics  -Intel India Technology , Bangalore
Electronics  -Micron Technology India Operations, Hyderabad
Electronics  -National Instruments Systems (India) Pvt. Ltd., Bangalore
Electronics  -Nvidia Graphics - Hardware, Bangalore
Electronics  -Nvidia Graphics - Hardware, Hyderabad
Electronics  -Pyrotech Electronics Pvt. Ltd., Udaipur
Electronics  -Qzense labs Pvt. Ltd., Bangalore
Electronics  -Samsung Semiconductor India R&D Center-Hardware, Bangalore
Electronics  -Samsung Semiconductor India Research -Software, Bangalore
Electronics  -Sleepiz (India) Pvt. Ltd., Pune
Electronics  -Synopsys India Pvt. Ltd., Hyderabad
Electronics  -Texas Instruments (I) Pvt. Ltd - Systems, Bangalore
Electronics  -Texas Instruments (I) Pvt. Ltd. -Analog, Bangalore
Electronics  -Xilinx India Technology Services Pvt. Ltd., Hyderabad
Express Stores - Non tech, Gurgaon
Express Stores - Tech, Gurgaon
Eyenetlabs, Trivandrum
Finance and Mgmt-AlmaConnect, Gurgaon
Finance and Mgmt-BNY Mellon Technology, Chennai
Finance and Mgmt-BNY Mellon Technology, Pune
Finance and Mgmt-Bunch Microtechnologies Pvt Ltd, Noida
Finance and Mgmt-DBOI - AC, Pune
Finance and Mgmt-DBOI - Automation, Pune
Finance and Mgmt-DBOI - Business Finance, Mumbai
Finance and Mgmt-DBOI - Counterparty Credit Ratings, Mumbai
Finance and Mgmt-DBOI - Financial Analytics, Pune
Finance and Mgmt-DBOI - Market Risk Analysis & Control, Mumbai
Finance and Mgmt-DBOI - Risk Metrics Analytics , Pune
Finance and Mgmt-DMI Finance Private Limited , New delhi
Finance and Mgmt-Dunzo Digital Pvt. Ltd., Bangalore
Finance and Mgmt-Ecom Express - Business Analysis, Delhi
Finance and Mgmt-Emptycup Innovation Pvt. Ltd. - Non tech, Bangalore
Finance and Mgmt-FamPay Pvt. Ltd. - Marketing, Bangalore
Finance and Mgmt-FamPay Pvt. Ltd. - Product, Bangalore
Finance and Mgmt-GenY medium, Hyderabad
Finance and Mgmt-IMarc Services, Noida
Finance and Mgmt-IndiaBuys (Shopero Retail Technologies Pvt. Ltd.),, Hyderabad
Finance and Mgmt-IndiaBuys - Nontech, Hyderabad
Finance and Mgmt-IndustryARC, Hyderabad
Finance and Mgmt-Invento Markerspaces Pvt. Ltd. (Non tech), Bangalore
Finance and Mgmt-Invento Markerspaces Pvt. Ltd., Bangalore
Finance and Mgmt-JPMS (Fintech) CIB R&A Banking (CRG), Mumbai
Finance and Mgmt-JPMS (Technology - IT) GR&C Wholesale Credit Solutions - Data Science - Fintech, Mumbai
Finance and Mgmt-JPMS - GR&C AM Investment Market & Principle Risk, Bangalore
Finance and Mgmt-JPMS CIB R&A - Markets (Derivatives Analyst Group, Mumbai
Finance and Mgmt-JPMS CIB R&A Data Science, Mumbai
Finance and Mgmt-JPMS CIB R&A Global Research, Mumbai
Finance and Mgmt-JPMS CIB R&A Markets– Equity Derivatives Trading & Structuring, Mumbai
Finance and Mgmt-JPMS GR&C Auto Risk Strategy Analytics, Bangalore
Finance and Mgmt-JPMS GR&C Cards Risk Strategy Analytics, Bangalore
Finance and Mgmt-JPMS GR&C CCB Business Banking Reporting Strategy, Bangalore
Finance and Mgmt-JPMS GR&C CCB Chase 360 Strategy, Bangalore
Finance and Mgmt-JPMS GR&C Corporate Risk - Control Automation, Bangalore
Finance and Mgmt-JPMS GR&C Corporate Risk - Risk Project Solutions, Bangalore
Finance and Mgmt-JPMS GR&C Corporate Risk - Risk Project Solutions, Mumbai
Finance and Mgmt-JPMS GR&C Corporate Risk – Firm wide Risk Reporting, Bangalore
Finance and Mgmt-JPMS GR&C Credit Forecasting Strategy, Bangalore
Finance and Mgmt-JPMS GR&C Credit Risk – Counterparty Credit Infrastructure & Capital, Mumbai
Finance and Mgmt-JPMS GR&C Quantitative Research – Fintech, Mumbai
Finance and Mgmt-JPMS GR&C WCS - Credit Portfolio Analytics, Mumbai
Finance and Mgmt-JPMS GR&C Wealth Management  – Data Science – Credit Risk, Mumbai
Finance and Mgmt-Lowe Services India Pvt.Ltd, Bangalore
Finance and Mgmt-Morning Star - Index Management and Analytics, Mumbai
Finance and Mgmt-Morningstar - Index data calculation, Mumbai
Finance and Mgmt-Morningstar - Indexes - Data and Content, Navi mumbai
Finance and Mgmt-Morningstar - Indexes Product and Sales Operations (IPSO), Mumbai
Finance and Mgmt-MSCI - Application of Data Science in Investment Management , Mumbai
Finance and Mgmt-MSCI Index and Research, Mumbai
Finance and Mgmt-My Smart Price - Non Tech, Hyderabad
Finance and Mgmt-myHQ & (JustWork Technologies Pvt. Ltd.) Non Tech, New Delhi
Finance and Mgmt-myHQ & (JustWork Technologies Pvt. Ltd.) Tech, New Delhi
Finance and Mgmt-News Cape Consulting, Pune
Finance and Mgmt-Nomura - Change Management Team, Mumbai
Finance and Mgmt-Nomura - FinTech, Mumbai
Finance and Mgmt-Nomura - Wholesale Strategy, Mumbai
Finance and Mgmt-Nomura Global Markets, Mumbai
Finance and Mgmt-Nomura Global Risk, Mumbai
Finance and Mgmt-Pepper Content Pvt. Ltd., Mumbai
Finance and Mgmt-Rupeek Fintech, Bangalore
Finance and Mgmt-Rupifi Non Tech, Bangalore
Finance and Mgmt-Saras Analytics - Nontech, Hyderabad
Finance and Mgmt-Sattva Media & Consulting Pvt Ltd, Bangalore
Finance and Mgmt-Sensum Research , Mumbai
Finance and Mgmt-ShortHills Tech Pvt Ltd(Nontech), Gurgaon
Finance and Mgmt-Spenny Pte. Ltd., Bangalore
